"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (200,ma,0)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","RSI ‌rsi‌ (14)"
"Tue Sep 06 2022 11:10:00 GMT+0530 (India Standard Time)","17664.90","17668.15","17656.20","17667.45","0.02","0.02","0","17657.38","17599.40","17604.66","56.67"
"Tue Sep 06 2022 11:15:00 GMT+0530 (India Standard Time)","17667.65","17675.15","17665.00","17666.00","-0.01","-0.01","0","17657.90","17599.95","17608.57","56.16"
"Tue Sep 06 2022 11:20:00 GMT+0530 (India Standard Time)","17665.30","17666.95","17643.90","17655.85","-0.06","-0.06","0","17657.92","17600.40","17608.57","52.55"
"Tue Sep 06 2022 11:25:00 GMT+0530 (India Standard Time)","17655.85","17664.35","17652.45","17654.60","-0.01","-0.01","0","17658.05","17600.88","17608.57","52.11"
"Tue Sep 06 2022 11:30:00 GMT+0530 (India Standard Time)","17654.35","17659.75","17647.80","17651.50","-0.02","-0.02","0","17658.15","17601.38","17608.57","50.96"
"Tue Sep 06 2022 11:35:00 GMT+0530 (India Standard Time)","17652.15","17657.60","17648.10","17657.05","0.03","0.03","0","17658.65","17601.92","17608.57","52.96"
"Tue Sep 06 2022 11:40:00 GMT+0530 (India Standard Time)","17657.20","17672.65","17656.05","17672.50","0.09","0.09","0","17659.19","17602.60","17608.57","58.08"
"Tue Sep 06 2022 11:45:00 GMT+0530 (India Standard Time)","17672.35","17677.30","17668.40","17668.75","-0.02","-0.02","0","17659.71","17603.39","17618.03","56.47"
"Tue Sep 06 2022 11:50:00 GMT+0530 (India Standard Time)","17668.75","17671.50","17661.25","17669.45","0","0","0","17659.99","17604.37","17618.03","56.72"
"Tue Sep 06 2022 11:55:00 GMT+0530 (India Standard Time)","17668.80","17691.90","17667.95","17690.55","0.12","0.12","0","17660.62","17605.39","17618.03","63.31"
"Tue Sep 06 2022 12:00:00 GMT+0530 (India Standard Time)","17691.45","17696.80","17684.55","17693.15","0.01","0.01","0","17661.17","17606.42","17637.53","64.04"
"Tue Sep 06 2022 12:05:00 GMT+0530 (India Standard Time)","17692.90","17693.85","17681.20","17689.40","-0.02","-0.02","0","17661.57","17607.27","17640.91","62.12"
"Tue Sep 06 2022 12:10:00 GMT+0530 (India Standard Time)","17689.80","17690.60","17682.10","17682.60","-0.04","-0.04","0","17661.91","17608.17","17640.91","58.70"
"Tue Sep 06 2022 12:15:00 GMT+0530 (India Standard Time)","17682.15","17693.40","17682.15","17692.30","0.05","0.05","0","17662.54","17609.09","17640.91","61.92"
"Tue Sep 06 2022 12:20:00 GMT+0530 (India Standard Time)","17692.30","17702.50","17690.10","17700.50","0.05","0.05","0","17663.06","17609.94","17642.77","64.45"
"Tue Sep 06 2022 12:25:00 GMT+0530 (India Standard Time)","17701.00","17701.60","17690.50","17698.10","-0.01","-0.01","0","17663.48","17610.63","17651.55","63.13"
"Tue Sep 06 2022 12:30:00 GMT+0530 (India Standard Time)","17698.10","17708.85","17695.75","17707.70","0.05","0.05","0","17664.45","17611.42","17651.55","66.12"
"Tue Sep 06 2022 12:35:00 GMT+0530 (India Standard Time)","17708.15","17710.75","17701.55","17701.80","-0.03","-0.03","0","17665.08","17612.13","17659.92","62.75"
"Tue Sep 06 2022 12:40:00 GMT+0530 (India Standard Time)","17701.30","17708.75","17696.60","17708.45","0.04","0.04","0","17665.97","17612.96","17659.92","64.92"
"Tue Sep 06 2022 12:45:00 GMT+0530 (India Standard Time)","17707.85","17713.25","17700.45","17702.80","-0.03","-0.03","0","17666.78","17613.73","17662.13","61.64"
"Tue Sep 06 2022 12:50:00 GMT+0530 (India Standard Time)","17703.10","17715.70","17701.50","17712.60","0.06","0.06","0","17667.95","17614.58","17662.13","64.95"
