Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,"MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (200,ma,0)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)",RSI ‌rsi‌ (14),Day,Month,Dt,Year,Time,OpenClose,HighLow
Mon Oct 03 2022 12:40:00 GMT+0530 (India Standard Time),17011.05,17011.4,16979.35,16999.75,-0.07,-0.07,0,17019.84,16957.73,16978.78,45.06,Mon,Oct,03,2022,12:40:00,-0.0665,-0.1888
Mon Oct 03 2022 12:45:00 GMT+0530 (India Standard Time),17000.1,17029.0,16997.85,17027.05,0.16,0.16,0,17017.8,16958.47,16978.78,54.0,Mon,Oct,03,2022,12:45:00,0.1583,-0.1833
Mon Oct 03 2022 12:50:00 GMT+0530 (India Standard Time),17026.8,17045.55,17025.7,17032.9,0.03,0.03,0,17015.97,16959.21,16978.78,55.66,Mon,Oct,03,2022,12:50:00,0.0358,-0.1166
Mon Oct 03 2022 12:55:00 GMT+0530 (India Standard Time),17033.05,17039.7,17021.6,17023.2,-0.06,-0.06,0,17014.2,16959.93,16978.78,52.28,Mon,Oct,03,2022,12:55:00,-0.0579,-0.1063
Mon Oct 03 2022 13:00:00 GMT+0530 (India Standard Time),17022.45,17035.65,17015.95,17021.9,-0.01,-0.01,0,17013.23,16960.62,16978.78,51.83,Mon,Oct,03,2022,13:00:00,-0.0032,-0.1158
Mon Oct 03 2022 13:05:00 GMT+0530 (India Standard Time),17021.7,17029.05,17004.95,17004.95,-0.1,-0.1,0,17012.01,16961.34,16978.78,46.2,Mon,Oct,03,2022,13:05:00,-0.0985,-0.1417
Mon Oct 03 2022 13:10:00 GMT+0530 (India Standard Time),17005.05,17025.5,17005.05,17020.65,0.09,0.09,0,17010.45,16962.19,16978.78,51.46,Mon,Oct,03,2022,13:10:00,0.0917,-0.1203
Mon Oct 03 2022 13:15:00 GMT+0530 (India Standard Time),17020.05,17035.85,17017.55,17035.25,0.09,0.09,0,17008.88,16963.16,16978.78,55.79,Mon,Oct,03,2022,13:15:00,0.0892,-0.1075
Mon Oct 03 2022 13:20:00 GMT+0530 (India Standard Time),17034.85,17046.25,17016.9,17018.45,-0.1,-0.1,0,17007.1,16964.12,16978.78,50.24,Mon,Oct,03,2022,13:20:00,-0.0964,-0.1725
Mon Oct 03 2022 13:25:00 GMT+0530 (India Standard Time),17020.55,17034.35,17010.7,17012.1,-0.04,-0.04,0,17005.91,16964.14,16978.78,48.28,Mon,Oct,03,2022,13:25:00,-0.0497,-0.139
